dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cnt_check,day_of_year,windspeed_binned,hum_binned,temp_combined,temp_binned,hour_bin,rush_hour,temp_diff_perceived,weather_intensity,temp_prev,hum_prev,windspeed_prev,weather_change_indicator,temp_median,daily_rentals,Weather Discomfort Index
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,16,01-01,Low Wind,High Humidity,0.26395,Low Temp,Early Morning,0,0.0479,0.0645,0.49700080561629645,0.6272275290597308,0.19010081712510069,0,0.9727622705564187,16.0,0.0
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,40,01-01,Low Wind,High Humidity,0.24635,Low Temp,Early Morning,0,0.0527,0.06200000000000001,0.24,0.81,0.0,0,0.9727622705564187,56.0,0.0
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,32,01-01,Low Wind,High Humidity,0.24635,Low Temp,Early Morning,0,0.0527,0.06200000000000001,0.22,0.8,0.0,0,0.9727622705564187,88.0,0.0
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,13,01-01,Low Wind,High Humidity,0.26395,Low Temp,Early Morning,0,0.0479,0.061500000000000006,0.22,0.8,0.0,0,0.9727622705564187,101.0,0.0
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,1,01-01,Low Wind,High Humidity,0.26395,Low Temp,Early Morning,0,0.0479,0.061500000000000006,0.24,0.75,0.0,0,0.9727622705564187,102.0,0.0
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,1,01-01,Low Wind,High Humidity,0.2488,Low Temp,Early Morning,0,0.017600000000000005,0.13196000000000002,0.24,0.75,0.0,0,0.9727622705564187,103.0,0.27999999999999997
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,2,01-01,Low Wind,High Humidity,0.24635,Low Temp,Morning,0,0.0527,0.06200000000000001,0.24,0.75,0.0896,0,0.9727622705564187,105.0,0.0
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,3,01-01,Low Wind,High Humidity,0.2288,Low Temp,Morning,0,0.057599999999999985,0.063,0.22,0.8,0.0,0,0.9727622705564187,108.0,0.0
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,8,01-01,Low Wind,High Humidity,0.26395,Low Temp,Morning,1,0.0479,0.061500000000000006,0.2,0.86,0.0,1,0.9727622705564187,116.0,0.0
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,14,01-01,Low Wind,High Humidity,0.33425,Medium Temp,Morning,0,0.02849999999999997,0.07,0.24,0.75,0.0,0,0.9727622705564187,130.0,0.0
